COUNTYFP,NAME,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR,NEIGHBORS,NEIGHBOR
"031",NORTHFIELD 3,"344","153","17","4","3","272","220","11","8","0","252","208","11","20","NORTHFIELD 47,NORTHFIELD 54,NORTHFIELD 22,West Deerfield 399,West Deerfield 398,NORTHFIELD 32,West Deerfield 400,NORTHFIELD 62,NORTHFIELD 58","NORTHFIELD 47 31,NORTHFIELD 54 31,NORTHFIELD 22 31,West Deerfield 399 97,West Deerfield 398 97,NORTHFIELD 32 31,West Deerfield 400 97,NORTHFIELD 62 31,NORTHFIELD 58 31"
"031",NORTHFIELD 53,"536","205","9","1","9","404","345","7","2","0","359","354","12","4","NORTHFIELD 41,NORTHFIELD 43,NORTHFIELD 20,NORTHFIELD 51,NORTHFIELD 42","NORTHFIELD 41 31,NORTHFIELD 43 31,NORTHFIELD 20 31,NORTHFIELD 51 31,NORTHFIELD 42 31"
"031",NORTHFIELD 4,"433","270","39","5","12","349","352","20","8","2","278","406","23","18","NORTHFIELD 10,NORTHFIELD 25,NORTHFIELD 33,NORTHFIELD 5,MAINE 5,MAINE 2,MAINE 69,NORTHFIELD 1,NORTHFIELD 38","NORTHFIELD 10 31,NORTHFIELD 25 31,NORTHFIELD 33 31,NORTHFIELD 5 31,MAINE 5 31,MAINE 2 31,MAINE 69 31,NORTHFIELD 1 31,NORTHFIELD 38 31"
"031",NORTHFIELD 44,"359","158","34","5","5","288","256","8","9","0","236","295","16","9","NORTHFIELD 10,NORTHFIELD 51,NORTHFIELD 38,NORTHFIELD 21,NORTHFIELD 30","NORTHFIELD 10 31,NORTHFIELD 51 31,NORTHFIELD 38 31,NORTHFIELD 21 31,NORTHFIELD 30 31"
"031",NORTHFIELD 5,"278","245","26","3","6","250","271","13","11","1","210","286","26","21","NORTHFIELD 25,NORTHFIELD 33,NORTHFIELD 57,NORTHFIELD 4","NORTHFIELD 25 31,NORTHFIELD 33 31,NORTHFIELD 57 31,NORTHFIELD 4 31"
"031",NORTHFIELD 10,"444","194","32","7","7","355","279","15","17","0","297","312","21","11","NORTHFIELD 44,NORTHFIELD 25,NORTHFIELD 51,NORTHFIELD 48,NORTHFIELD 4,NORTHFIELD 38","NORTHFIELD 44 31,NORTHFIELD 25 31,NORTHFIELD 51 31,NORTHFIELD 48 31,NORTHFIELD 4 31,NORTHFIELD 38 31"
"031",NORTHFIELD 6,"405","302","59","3","27","258","523","6","7","0","214","526","14","11","NEW TRIER 15,NEW TRIER 13,NEW TRIER 39,NORTHFIELD 19,NORTHFIELD 12,NILES 3,NORTHFIELD 35","NEW TRIER 15 31,NEW TRIER 13 31,NEW TRIER 39 31,NORTHFIELD 19 31,NORTHFIELD 12 31,NILES 3 31,NORTHFIELD 35 31"
"031",NORTHFIELD 8,"430","320","44","14","13","316","464","18","14","1","246","529","12","16","NORTHFIELD 46,NORTHFIELD 45,NORTHFIELD 20,NEW TRIER 20,NEW TRIER 11,NEW TRIER 4,NEW TRIER 6,NORTHFIELD 28,NORTHFIELD 9,NORTHFIELD 42,NORTHFIELD 23","NORTHFIELD 46 31,NORTHFIELD 45 31,NORTHFIELD 20 31,NEW TRIER 20 31,NEW TRIER 11 31,NEW TRIER 4 31,NEW TRIER 6 31,NORTHFIELD 28 31,NORTHFIELD 9 31,NORTHFIELD 42 31,NORTHFIELD 23 31"
"031",NORTHFIELD 7,"660","302","39","8","20","516","477","22","8","0","408","546","20","12","NORTHFIELD 51,NORTHFIELD 30,NORTHFIELD 42,NORTHFIELD 52","NORTHFIELD 51 31,NORTHFIELD 30 31,NORTHFIELD 42 31,NORTHFIELD 52 31"
"031",NORTHFIELD 27,"490","231","17","10","8","411","273","15","17","3","378","271","19","25","NORTHFIELD 50,WHEELING 29,WHEELING 12,NORTHFIELD 39,WHEELING 77,WHEELING 80,WHEELING 85,NORTHFIELD 59,NORTHFIELD 61,NORTHFIELD 33","NORTHFIELD 50 31,WHEELING 29 31,WHEELING 12 31,NORTHFIELD 39 31,WHEELING 77 31,WHEELING 80 31,WHEELING 85 31,NORTHFIELD 59 31,NORTHFIELD 61 31,NORTHFIELD 33 31"
"031",NORTHFIELD 9,"299","203","38","8","17","205","333","8","12","0","165","353","14","11","NEW TRIER 20,NORTHFIELD 37,NORTHFIELD 8,NORTHFIELD 23","NEW TRIER 20 31,NORTHFIELD 37 31,NORTHFIELD 8 31,NORTHFIELD 23 31"
"031",NORTHFIELD 11,"272","144","11","5","8","213","205","8","4","0","171","223","11","9","NORTHFIELD 18,NORTHFIELD 36,NORTHFIELD 49,NORTHFIELD 50,NORTHFIELD 34","NORTHFIELD 18 31,NORTHFIELD 36 31,NORTHFIELD 49 31,NORTHFIELD 50 31,NORTHFIELD 34 31"
"031",NORTHFIELD 14,"369","196","19","5","12","292","278","9","12","0","243","307","10","14","NORTHFIELD 46,NORTHFIELD 18,NORTHFIELD 20","NORTHFIELD 46 31,NORTHFIELD 18 31,NORTHFIELD 20 31"
